,Año,Bancas Diputados Totales ,Bancas Senadores Totales ,Proporción población (censos),Proporción Población Nacional (proyecciones),Indice de sobrerrepresentación Diputados,Indice de sobrerrepresentación Senadores, Logaritmo Natural de Sobrerrepresentación en Diputados, Logaritmo Natural de Sobrerrepresentación en Senadores
Buenos Aires,2010,"0,27","0,04","0,39","0,39","0,71","0,11","4,26","2,38"
Buenos Aires,2011,"0,27","0,04",,"0,39","0,71","0,11","4,26","2,38"
Buenos Aires,2012,"0,27","0,04",,"0,39","0,71","0,11","4,26","2,38"
Buenos Aires,2013,"0,27","0,04",,"0,39","0,71","0,11","4,26","2,38"
Buenos Aires,2014,"0,27","0,04",,"0,39","0,71","0,11","4,26","2,38"
Buenos Aires,2015,"0,27","0,04",,"0,39","0,71","0,11","4,26","2,38"
Buenos Aires,2016,"0,27","0,04",,"0,39","0,70","0,11","4,26","2,38"
Buenos Aires,2017,"0,27","0,04",,"0,39","0,70","0,11","4,26","2,38"
Buenos Aires,2018,"0,27","0,04",,"0,39","0,70","0,11","4,26","2,38"
Buenos Aires,2019,"0,27","0,04",,"0,39","0,70","0,11","4,26","2,38"
Buenos Aires,2020,"0,27","0,04",,"0,39","0,70","0,11","4,26","2,38"
Buenos Aires,2021,"0,27","0,04",,"0,39","0,70","0,11","4,25","2,38"
Buenos Aires,2022,"0,27","0,04","0,38","0,39","0,70","0,11","4,25","2,38"
Buenos Aires,2023,"0,27","0,04",,"0,39","0,70","0,11","4,25","2,38"
CABA,2010,"0,10","0,04","0,07","0,07","1,31","0,56","4,88","4,03"
CABA,2011,"0,10","0,04",,"0,07","1,32","0,57","4,89","4,04"
CABA,2012,"0,10","0,04",,"0,07","1,34","0,57","4,89","4,05"
CABA,2013,"0,10","0,04",,"0,07","1,35","0,58","4,90","4,06"
CABA,2014,"0,10","0,04",,"0,07","1,36","0,58","4,91","4,07"
CABA,2015,"0,10","0,04",,"0,07","1,37","0,59","4,92","4,07"
CABA,2016,"0,10","0,04",,"0,07","1,39","0,59","4,93","4,08"
CABA,2017,"0,10","0,04",,"0,07","1,40","0,60","4,94","4,09"
CABA,2018,"0,10","0,04",,"0,07","1,41","0,60","4,95","4,10"
CABA,2019,"0,10","0,04",,"0,07","1,42","0,61","4,96","4,11"
CABA,2020,"0,10","0,04",,"0,07","1,44","0,61","4,97","4,12"
CABA,2021,"0,10","0,04",,"0,07","1,45","0,62","4,97","4,13"
CABA,2022,"0,10","0,04","0,07","0,07","1,46","0,63","4,98","4,14"
CABA,2023,"0,10","0,04",,"0,07","1,47","0,63","4,99","4,14"
Catamarca,2010,"0,02","0,04","0,01","0,01","2,10","4,50","5,35","6,11"
Catamarca,2011,"0,02","0,04",,"0,01","2,10","4,51","5,35","6,11"
Catamarca,2012,"0,02","0,04",,"0,01","2,11","4,51","5,35","6,11"
Catamarca,2013,"0,02","0,04",,"0,01","2,11","4,52","5,35","6,11"
Catamarca,2014,"0,02","0,04",,"0,01","2,11","4,52","5,35","6,11"
Catamarca,2015,"0,02","0,04",,"0,01","2,11","4,53","5,35","6,12"
Catamarca,2016,"0,02","0,04",,"0,01","2,12","4,53","5,35","6,12"
Catamarca,2017,"0,02","0,04",,"0,01","2,12","4,54","5,36","6,12"
Catamarca,2018,"0,02","0,04",,"0,01","2,12","4,54","5,36","6,12"
Catamarca,2019,"0,02","0,04",,"0,01","2,12","4,55","5,36","6,12"
Catamarca,2020,"0,02","0,04",,"0,01","2,13","4,55","5,36","6,12"
Catamarca,2021,"0,02","0,04",,"0,01","2,13","4,56","5,36","6,12"
Catamarca,2022,"0,02","0,04","0,01","0,01","2,13","4,56","5,36","6,12"
Catamarca,2023,"0,02","0,04",,"0,01","2,13","4,56","5,36","6,12"
Chaco,2010,"0,03","0,04","0,03","0,03","1,03","1,57","4,63","5,06"
Chaco,2011,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2012,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2013,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2014,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2015,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2016,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2017,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2018,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2019,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2020,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2021,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chaco,2022,"0,03","0,04","0,02","0,03","1,03","1,57","4,63","5,06"
Chaco,2023,"0,03","0,04",,"0,03","1,03","1,57","4,63","5,06"
Chubut,2010,"0,02","0,04","0,01","0,01","1,55","3,31","5,04","5,80"
Chubut,2011,"0,02","0,04",,"0,01","1,53","3,28","5,03","5,79"
Chubut,2012,"0,02","0,04",,"0,01","1,52","3,25","5,02","5,78"
Chubut,2013,"0,02","0,04",,"0,01","1,50","3,22","5,01","5,78"
Chubut,2014,"0,02","0,04",,"0,01","1,49","3,20","5,01","5,77"
Chubut,2015,"0,02","0,04",,"0,01","1,48","3,17","5,00","5,76"
Chubut,2016,"0,02","0,04",,"0,01","1,47","3,15","4,99","5,75"
Chubut,2017,"0,02","0,04",,"0,01","1,46","3,12","4,98","5,74"
Chubut,2018,"0,02","0,04",,"0,01","1,45","3,10","4,97","5,74"
Chubut,2019,"0,02","0,04",,"0,01","1,44","3,08","4,97","5,73"
Chubut,2020,"0,02","0,04",,"0,01","1,43","3,05","4,96","5,72"
Chubut,2021,"0,02","0,04",,"0,01","1,42","3,03","4,95","5,71"
Chubut,2022,"0,02","0,04",#VALUE!,"0,01","1,41","3,01","4,95","5,71"
Chubut,2023,"0,02","0,04",,"0,01","1,40","2,99","4,94","5,70"
Córdoba,2010,"0,07","0,04","0,08","0,08","0,85","0,50","4,44","3,92"
Córdoba,2011,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2012,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2013,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2014,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2015,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2016,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2017,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2018,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2019,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2020,"0,07","0,04",,"0,08","0,85","0,50","4,44","3,92"
Córdoba,2021,"0,07","0,04",,"0,08","0,84","0,50","4,44","3,92"
Córdoba,2022,"0,07","0,04","0,08","0,08","0,84","0,50","4,44","3,92"
Córdoba,2023,"0,07","0,04",,"0,08","0,84","0,50","4,44","3,92"
Corrientes,2010,"0,03","0,04","0,02","0,02","1,09","1,67","4,69","5,12"
Corrientes,2011,"0,03","0,04",,"0,02","1,09","1,67","4,69","5,12"
Corrientes,2012,"0,03","0,04",,"0,02","1,09","1,67","4,70","5,12"
Corrientes,2013,"0,03","0,04",,"0,02","1,10","1,68","4,70","5,12"
Corrientes,2014,"0,03","0,04",,"0,02","1,10","1,68","4,70","5,12"
Corrientes,2015,"0,03","0,04",,"0,02","1,10","1,68","4,70","5,12"
Corrientes,2016,"0,03","0,04",,"0,02","1,10","1,68","4,70","5,12"
Corrientes,2017,"0,03","0,04",,"0,02","1,10","1,68","4,70","5,13"
Corrientes,2018,"0,03","0,04",,"0,02","1,10","1,68","4,70","5,13"
Corrientes,2019,"0,03","0,04",,"0,02","1,10","1,69","4,70","5,13"
Corrientes,2020,"0,03","0,04",,"0,02","1,10","1,69","4,70","5,13"
Corrientes,2021,"0,03","0,04",,"0,02","1,10","1,69","4,70","5,13"
Corrientes,2022,"0,03","0,04","0,03","0,02","1,11","1,69","4,71","5,13"
Corrientes,2023,"0,03","0,04",,"0,02","1,11","1,69","4,71","5,13"
Entre Ríos,2010,"0,04","0,04","0,03","0,03","1,14","1,35","4,73","4,91"
Entre Ríos,2011,"0,04","0,04",,"0,03","1,14","1,36","4,74","4,91"
Entre Ríos,2012,"0,04","0,04",,"0,03","1,14","1,36","4,74","4,91"
Entre Ríos,2013,"0,04","0,04",,"0,03","1,14","1,36","4,74","4,91"
Entre Ríos,2014,"0,04","0,04",,"0,03","1,14","1,36","4,74","4,91"
Entre Ríos,2015,"0,04","0,04",,"0,03","1,14","1,36","4,74","4,91"
Entre Ríos,2016,"0,04","0,04",,"0,03","1,14","1,36","4,74","4,91"
Entre Ríos,2017,"0,04","0,04",,"0,03","1,14","1,36","4,74","4,91"
Entre Ríos,2018,"0,04","0,04",,"0,03","1,15","1,36","4,74","4,91"
Entre Ríos,2019,"0,04","0,04",,"0,03","1,15","1,36","4,74","4,92"
Entre Ríos,2020,"0,04","0,04",,"0,03","1,15","1,36","4,74","4,92"
Entre Ríos,2021,"0,04","0,04",,"0,03","1,15","1,36","4,74","4,92"
Entre Ríos,2022,"0,04","0,04","0,03","0,03","1,15","1,37","4,74","4,92"
Entre Ríos,2023,"0,04","0,04",,"0,03","1,15","1,37","4,74","4,92"
Formosa,2010,"0,02","0,04","0,01","0,01","1,44","3,08","4,97","5,73"
Formosa,2011,"0,02","0,04",,"0,01","1,44","3,09","4,97","5,73"
Formosa,2012,"0,02","0,04",,"0,01","1,44","3,09","4,97","5,73"
Formosa,2013,"0,02","0,04",,"0,01","1,44","3,09","4,97","5,73"
Formosa,2014,"0,02","0,04",,"0,01","1,45","3,10","4,97","5,74"
Formosa,2015,"0,02","0,04",,"0,01","1,45","3,10","4,98","5,74"
Formosa,2016,"0,02","0,04",,"0,01","1,45","3,11","4,98","5,74"
Formosa,2017,"0,02","0,04",,"0,01","1,45","3,11","4,98","5,74"
Formosa,2018,"0,02","0,04",,"0,01","1,45","3,12","4,98","5,74"
Formosa,2019,"0,02","0,04",,"0,01","1,46","3,12","4,98","5,74"
Formosa,2020,"0,02","0,04",,"0,01","1,46","3,12","4,98","5,74"
Formosa,2021,"0,02","0,04",,"0,01","1,46","3,13","4,98","5,75"
Formosa,2022,"0,02","0,04","0,01","0,01","1,46","3,13","4,99","5,75"
Formosa,2023,"0,02","0,04",,"0,01","1,47","3,14","4,99","5,75"
Jujuy,2010,"0,02","0,04","0,02","0,02","1,39","2,49","4,94","5,52"
Jujuy,2011,"0,02","0,04",,"0,02","1,39","2,48","4,94","5,51"
Jujuy,2012,"0,02","0,04",,"0,02","1,39","2,48","4,93","5,51"
Jujuy,2013,"0,02","0,04",,"0,02","1,39","2,48","4,93","5,51"
Jujuy,2014,"0,02","0,04",,"0,02","1,39","2,47","4,93","5,51"
Jujuy,2015,"0,02","0,04",,"0,02","1,38","2,47","4,93","5,51"
Jujuy,2016,"0,02","0,04",,"0,02","1,38","2,47","4,93","5,51"
Jujuy,2017,"0,02","0,04",,"0,02","1,38","2,46","4,93","5,51"
Jujuy,2018,"0,02","0,04",,"0,02","1,38","2,46","4,93","5,50"
Jujuy,2019,"0,02","0,04",,"0,02","1,38","2,46","4,92","5,50"
Jujuy,2020,"0,02","0,04",,"0,02","1,37","2,45","4,92","5,50"
Jujuy,2021,"0,02","0,04",,"0,02","1,37","2,45","4,92","5,50"
Jujuy,2022,"0,02","0,04","0,02","0,02","1,37","2,45","4,92","5,50"
Jujuy,2023,"0,02","0,04",,"0,02","1,37","2,44","4,92","5,50"
La Pampa,2010,"0,02","0,04","0,01","0,01","2,43","5,20","5,49","6,25"
La Pampa,2011,"0,02","0,04",,"0,01","2,43","5,21","5,49","6,25"
La Pampa,2012,"0,02","0,04",,"0,01","2,43","5,21","5,49","6,26"
La Pampa,2013,"0,02","0,04",,"0,01","2,44","5,22","5,50","6,26"
La Pampa,2014,"0,02","0,04",,"0,01","2,44","5,23","5,50","6,26"
La Pampa,2015,"0,02","0,04",,"0,01","2,45","5,24","5,50","6,26"
La Pampa,2016,"0,02","0,04",,"0,01","2,45","5,25","5,50","6,26"
La Pampa,2017,"0,02","0,04",,"0,01","2,45","5,25","5,50","6,26"
La Pampa,2018,"0,02","0,04",,"0,01","2,46","5,26","5,50","6,27"
La Pampa,2019,"0,02","0,04",,"0,01","2,46","5,27","5,51","6,27"
La Pampa,2020,"0,02","0,04",,"0,01","2,46","5,27","5,51","6,27"
La Pampa,2021,"0,02","0,04",,"0,01","2,47","5,28","5,51","6,27"
La Pampa,2022,"0,02","0,04","0,01","0,01","2,47","5,29","5,51","6,27"
La Pampa,2023,"0,02","0,04",,"0,01","2,47","5,29","5,51","6,27"
La Rioja,2010,"0,02","0,04","0,01","0,01","2,32","4,96","5,45","6,21"
La Rioja,2011,"0,02","0,04",,"0,01","2,31","4,95","5,44","6,20"
La Rioja,2012,"0,02","0,04",,"0,01","2,30","4,93","5,44","6,20"
La Rioja,2013,"0,02","0,04",,"0,01","2,30","4,92","5,44","6,20"
La Rioja,2014,"0,02","0,04",,"0,01","2,29","4,90","5,43","6,20"
La Rioja,2015,"0,02","0,04",,"0,01","2,28","4,89","5,43","6,19"
La Rioja,2016,"0,02","0,04",,"0,01","2,27","4,87","5,43","6,19"
La Rioja,2017,"0,02","0,04",,"0,01","2,27","4,85","5,42","6,19"
La Rioja,2018,"0,02","0,04",,"0,01","2,26","4,84","5,42","6,18"
La Rioja,2019,"0,02","0,04",,"0,01","2,25","4,82","5,42","6,18"
La Rioja,2020,"0,02","0,04",,"0,01","2,24","4,80","5,41","6,17"
La Rioja,2021,"0,02","0,04",,"0,01","2,24","4,79","5,41","6,17"
La Rioja,2022,"0,02","0,04","0,01","0,01","2,23","4,77","5,41","6,17"
